plants,north_plants,south_plants,moths,north_moths,south_moths,inverts,north_inverts,south_inverts,mammals,north_mams,south_mams,birds,north_birds,south_birds
Agrostis_capillaris,2,7,Autumnal_rustic,1,0,Ant,2,5,Badger,1,0,Aegithalos_caudatus,0,1
Anthoxanthum_odoratum,4,0,Black_rustic,4,0,Aphid,1,1,Domestic_sheep,2,1,Alauda_arvensis,3,0
Avenella_flexuosa,10,0,Chestnut_moth,0,1,Blackfly_larvae,0,2,Red_deer,3,3,Anthus_pratensis,6,9
Calluna_vulgaris,8,0,Common_marbled_carpet,0,2,Caddisfly_case,1,4,Red_Squirrel,2,1,Aquila_chrysaetos,4,2
Carex,0,6,Convolvulus_hawk_moth,1,0,Caddisfly_larvae,1,1,,,,Certhia_familiaris,0,1
Cerastium_fontanum,1,0,Dark_winged_fungus_gnats,0,1,Cased_caddisfly_larvae,5,0,,,,Coloeus_monedula,16,0
Deschampsia_cespitosa,2,5,Garden_dart,1,0,Caseless_caddisfly_larvae,4,0,,,,Columba_palumbus,16,5
Dicranum_scoparium,2,0,Green_carpet_moth,1,3,Caterpillar,0,4,,,,Corvus_corax,0,4
Digitalis_purpurea,1,0,Heath_rustic,1,1,Cinnamon_sedge_caddisfly,1,1,,,,Corvus_corone,2,0
Erica_cinerea,9,0,Large_pale_masoner,1,0,Crane_fly,10,18,,,,Cyanistes_caeruleus,1,0
Galium_mollugo,17,0,Large_yellow_underwing,1,0,Damselfly_larvae,0,2,,,,Erithacus_rubecula,1,1
Galium_saxatile,0,6,Larval_geometrid,1,0,Diving_beetle,0,1,,,,Falco_tinnunculus,1,1
Holcus_lanatus,11,10,Mottled_rustic,1,1,Dor_beetle,0,2,,,,Motacilla_alba,1,0
Hypericum_perforatum,1,0,Neglected_rustic,0,1,Dragonfly_larvae,2,3,,,,Periparus_ater,1,0
Juncus_effusus,1,2,Northern_rustic,1,0,Drinker_moth,0,1,,,,Troglodytes_troglodytes,0,5
Juncus_inflexus,0,1,Pink_barred_sallow_moth,0,1,Fly,3,23,,,,Turdus_philomelos,3,1
Lonicera_periclymenum,1,0,Small_wainscot,2,3,Greater_Water_Boatman,0,2,,,,Turdus_spp.,1,0
Lysimachia_nemorum,1,0,Square_spot_rustic,10,12,Ground_Beetle,7,0,,,,Unidentified,1,0
Myrica_gale,0,1,The_anomalous,1,0,Harverstman_spider,0,1,,,,Unidentified_eggs,0,3
Nardus_stricta,0,25,,,,Insect,0,19,,,,,,
Oxalis,1,0,,,,Leaf_curling_sac_spiders,0,1,,,,,,
Polytrichum_commune,0,2,,,,Lesser_Water_Boatman,0,4,,,,,,
Potentilla_erecta,9,14,,,,Mayfly_larvae,6,4,,,,,,
Primula_vulgaris,0,1,,,,Money_spider,1,3,,,,,,
Pteridium_aquilinum,17,12,,,,Mosquito,1,4,,,,,,
Ranunculus_repens,3,0,,,,Parasitic_wasps,2,0,,,,,,
Rhytidadelphus_triquetrus,18,0,,,,Scentless_plant_bugs,1,0,,,,,,
Rhytidiadelphus_triquetrus,0,2,,,,Spider,0,32,,,,,,
Rubus_fruticosus_L.,10,0,,,,Springtail,0,1,,,,,,
Sphagnum,0,1,,,,Stonefly_larvae,7,9,,,,,,
Teucrium_scorodonia,5,0,,,,Thrip,0,1,,,,,,
Trifolium_repens,0,2,,,,Tick,6,167,,,,,,
Ulex_europaeus,1,0,,,,True_bug,7,8,,,,,,
Urtica_dioica,0,2,,,,Waterbeetle,4,1,,,,,,
Viola_palustris,2,2,,,,Waterbeetle_larvae,1,1,,,,,,
,,,,,,White_legged_snake_millipede,0,1,,,,,,
,,,,,,Woodland_ground_beetle,0,1,,,,,,
,,,,,,Worm,7,1,,,,,,
